COLS: cores=132, threads=1, width=10000, height=10000, time=1.417179
COLS: cores=133, threads=1, width=10000, height=10000, time=1.401677
COLS: cores=134, threads=1, width=10000, height=10000, time=1.393454
COLS: cores=135, threads=1, width=10000, height=10000, time=1.374559
COLS: cores=136, threads=1, width=10000, height=10000, time=1.360098
COLS: cores=137, threads=1, width=10000, height=10000, time=1.362992
COLS: cores=138, threads=1, width=10000, height=10000, time=1.348171
COLS: cores=139, threads=1, width=10000, height=10000, time=1.344456
COLS: cores=140, threads=1, width=10000, height=10000, time=1.327225
COLS: cores=141, threads=1, width=10000, height=10000, time=1.330187
COLS: cores=142, threads=1, width=10000, height=10000, time=1.300482
COLS: cores=143, threads=1, width=10000, height=10000, time=1.302723
COLS: cores=144, threads=1, width=10000, height=10000, time=1.289412
COLS: cores=145, threads=1, width=10000, height=10000, time=1.289399
COLS: cores=146, threads=1, width=10000, height=10000, time=1.276167
COLS: cores=147, threads=1, width=10000, height=10000, time=1.272363
COLS: cores=148, threads=1, width=10000, height=10000, time=1.254932
COLS: cores=149, threads=1, width=10000, height=10000, time=1.256837
COLS: cores=150, threads=1, width=10000, height=10000, time=1.252194
COLS: cores=151, threads=1, width=10000, height=10000, time=1.236847
COLS: cores=152, threads=1, width=10000, height=10000, time=1.247558
COLS: cores=153, threads=1, width=10000, height=10000, time=1.212510
COLS: cores=154, threads=1, width=10000, height=10000, time=1.215378
COLS: cores=155, threads=1, width=10000, height=10000, time=1.197631
COLS: cores=156, threads=1, width=10000, height=10000, time=1.197904
COLS: cores=157, threads=1, width=10000, height=10000, time=1.199101
COLS: cores=158, threads=1, width=10000, height=10000, time=1.179966
COLS: cores=159, threads=1, width=10000, height=10000, time=1.176629
COLS: cores=160, threads=1, width=10000, height=10000, time=1.164069
COLS: cores=161, threads=1, width=10000, height=10000, time=1.161731
COLS: cores=162, threads=1, width=10000, height=10000, time=1.166235
COLS: cores=163, threads=1, width=10000, height=10000, time=1.159071
COLS: cores=164, threads=1, width=10000, height=10000, time=1.144942
COLS: cores=165, threads=1, width=10000, height=10000, time=1.131255
COLS: cores=166, threads=1, width=10000, height=10000, time=1.125405
COLS: cores=167, threads=1, width=10000, height=10000, time=1.135494
COLS: cores=168, threads=1, width=10000, height=10000, time=1.108717
COLS: cores=169, threads=1, width=10000, height=10000, time=1.115384
COLS: cores=170, threads=1, width=10000, height=10000, time=1.109780
COLS: cores=171, threads=1, width=10000, height=10000, time=1.095539
COLS: cores=172, threads=1, width=10000, height=10000, time=1.088738
COLS: cores=173, threads=1, width=10000, height=10000, time=1.101462
COLS: cores=174, threads=1, width=10000, height=10000, time=1.073746
COLS: cores=175, threads=1, width=10000, height=10000, time=1.077691
COLS: cores=176, threads=1, width=10000, height=10000, time=1.072587
COLS: cores=177, threads=1, width=10000, height=10000, time=1.064758
COLS: cores=178, threads=1, width=10000, height=10000, time=1.055001
COLS: cores=179, threads=1, width=10000, height=10000, time=1.065735
COLS: cores=180, threads=1, width=10000, height=10000, time=1.036485
COLS: cores=181, threads=1, width=10000, height=10000, time=1.047205
COLS: cores=182, threads=1, width=10000, height=10000, time=1.038372
COLS: cores=183, threads=1, width=10000, height=10000, time=1.048882
COLS: cores=184, threads=1, width=10000, height=10000, time=1.017741
COLS: cores=185, threads=1, width=10000, height=10000, time=1.028308
COLS: cores=186, threads=1, width=10000, height=10000, time=1.023022
COLS: cores=187, threads=1, width=10000, height=10000, time=1.006857
COLS: cores=188, threads=1, width=10000, height=10000, time=0.996179
COLS: cores=189, threads=1, width=10000, height=10000, time=1.011018
