MPI-STRIPS-WEAK: cores=101, threads=1, width=10049, height=10049, time=0.032197
MPI-STRIPS-WEAK: cores=102, threads=1, width=10099, height=10099, time=0.018862
MPI-STRIPS-WEAK: cores=103, threads=1, width=10148, height=10148, time=0.032450
MPI-STRIPS-WEAK: cores=104, threads=1, width=10198, height=10198, time=0.017827
MPI-STRIPS-WEAK: cores=105, threads=1, width=10246, height=10246, time=0.018281
MPI-STRIPS-WEAK: cores=106, threads=1, width=10295, height=10295, time=0.023525
MPI-STRIPS-WEAK: cores=107, threads=1, width=10344, height=10344, time=0.032180
MPI-STRIPS-WEAK: cores=108, threads=1, width=10392, height=10392, time=0.017344
MPI-STRIPS-WEAK: cores=109, threads=1, width=10440, height=10440, time=0.032134
MPI-STRIPS-WEAK: cores=110, threads=1, width=10488, height=10488, time=0.017258
MPI-STRIPS-WEAK: cores=111, threads=1, width=10535, height=10535, time=0.021853
MPI-STRIPS-WEAK: cores=112, threads=1, width=10583, height=10583, time=0.017881
MPI-STRIPS-WEAK: cores=113, threads=1, width=10630, height=10630, time=0.032549
MPI-STRIPS-WEAK: cores=114, threads=1, width=10677, height=10677, time=0.018545
MPI-STRIPS-WEAK: cores=115, threads=1, width=10723, height=10723, time=0.019735
MPI-STRIPS-WEAK: cores=116, threads=1, width=10770, height=10770, time=0.021241
MPI-STRIPS-WEAK: cores=117, threads=1, width=10816, height=10816, time=0.017606
MPI-STRIPS-WEAK: cores=118, threads=1, width=10862, height=10862, time=0.023568
MPI-STRIPS-WEAK: cores=119, threads=1, width=10908, height=10908, time=0.018257
MPI-STRIPS-WEAK: cores=120, threads=1, width=10954, height=10954, time=0.016893
MPI-STRIPS-WEAK: cores=121, threads=1, width=11000, height=11000, time=0.017413
MPI-STRIPS-WEAK: cores=122, threads=1, width=11045, height=11045, time=0.023574
MPI-STRIPS-WEAK: cores=123, threads=1, width=11090, height=11090, time=0.021884
MPI-STRIPS-WEAK: cores=124, threads=1, width=11135, height=11135, time=0.021028
MPI-STRIPS-WEAK: cores=125, threads=1, width=11180, height=11180, time=0.019668
MPI-STRIPS-WEAK: cores=126, threads=1, width=11224, height=11224, time=0.017410
MPI-STRIPS-WEAK: cores=127, threads=1, width=11269, height=11269, time=0.032301
MPI-STRIPS-WEAK: cores=128, threads=1, width=11313, height=11313, time=0.017482
MPI-STRIPS-WEAK: cores=129, threads=1, width=11357, height=11357, time=0.022469
MPI-STRIPS-WEAK: cores=130, threads=1, width=11401, height=11401, time=0.017203
MPI-STRIPS-WEAK: cores=131, threads=1, width=11445, height=11445, time=0.032290
MPI-STRIPS-WEAK: cores=132, threads=1, width=11489, height=11489, time=0.016749
MPI-STRIPS-WEAK: cores=133, threads=1, width=11532, height=11532, time=0.018313
MPI-STRIPS-WEAK: cores=134, threads=1, width=11575, height=11575, time=0.023608
MPI-STRIPS-WEAK: cores=135, threads=1, width=11618, height=11618, time=0.017399
MPI-STRIPS-WEAK: cores=136, threads=1, width=11661, height=11661, time=0.017753
